,City,State,Latitude,Longitude,Airport Name,Airport Address,Airport Rating
0,New York,New York,36.1023715,-115.1745559,Henderson Executive Airport,"3500 Executive Terminal Dr, Henderson",4.4
1,Los Angeles,California,34.0522342,-118.2436849,Hawthorne Municipal Airport,"12101 Crenshaw Blvd #1, Hawthorne",4.3
2,Chicago,Illinois,41.8781136,-87.6297982,Chicago Midway International Airport,"5700 S Cicero Ave, Chicago",3.8
3,Houston,Texas,29.7604267,-95.3698028,William P. Hobby Airport,"7800 Airport Blvd, Houston",4
4,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3
5,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9
6,San Antonio,Texas,29.4241219,-98.49362819999999,San Antonio International Airport,"9800 Airport Blvd, San Antonio",4
7,San Diego,California,32.715738,-117.1610838,San Diego International Airport,"3225 N Harbor Dr, San Diego",3.9
8,Dallas,Texas,32.7766642,-96.79698789999999,Dallas Love Field Airport,"8008 Herb Kelleher Way, Dallas",4.2
9,San Jose,California,37.3382082,-121.8863286,Norman Y. Mineta San Jose International Airport,"1701 Airport Blvd, San Jose",4.1
10,Austin,Texas,30.267153,-97.7430608,Austin-Bergstrom International Airport,"3600 Presidential Blvd, Austin",4
11,Jacksonville,Florida,30.3321838,-81.65565099999999,Jacksonville Executive at Craig Airport (CRG),"855-1 St Johns Bluff Rd N, Jacksonville",4.1
12,San Francisco,California,37.7749295,-122.4194155,,,
13,Indianapolis,Indiana,39.768403,-86.158068,Indianapolis International Airport,"7800 Col. H. Weir Cook Memorial Dr, Indianapolis",4.3
14,Columbus,Ohio,39.9611755,-82.99879419999999,John Glenn Columbus International Airport,"4600 International Gateway, Columbus",4
15,Fort Worth,Texas,32.7554883,-97.3307658,Fort Worth Meacham International Airport,"201 American Concourse, Fort Worth",4.4
16,Charlotte,North Carolina,35.2270869,-80.8431267,Charlotte Douglas International Airport,"5501 Josh Birmingham Pkwy, Charlotte",3.5
17,Seattle,Washington,47.6062095,-122.3320708,Boeing Field,"7277 Perimeter Rd S, Seattle",4.2
18,Denver,Colorado,39.7392358,-104.990251,,,
19,El Paso,Texas,31.7618778,-106.4850217,El Paso International Airport,"6701 Convair Rd, El Paso",4.1
20,Detroit,Michigan,42.331427,-83.0457538,Windsor International Airport,"3200 County Road 42 #200, Windsor",4
21,Washington,District of Columbia,38.9071923,-77.0368707,Ronald Reagan Washington National Airport,Arlington,3.9
22,Boston,Massachusetts,42.3600825,-71.0588801,Boston Logan International Airport,"1 Harborside Dr, Boston",3.9
23,Memphis,Tennessee,35.1495343,-90.0489801,Memphis International Airport,"2491 Winchester Rd, Memphis",3.6
24,Nashville,Tennessee,36.1626638,-86.7816016,John C. Tune Airport,"110 Tune Airport Dr, Nashville",4.9
25,Portland,Oregon,45.5230622,-122.6764815,Portland International Airport,"7000 NE Airport Way, Portland",4.5
26,Oklahoma City,Oklahoma,35.4675602,-97.5164276,Will Rogers World Airport,"7100 Terminal Dr, Oklahoma City",4.2
27,Las Vegas,Nevada,36.1699412,-115.1398296,McCarran International Airport,"5757 Wayne Newton Blvd, Las Vegas",3.9
28,Baltimore,Maryland,39.2903848,-76.6121893,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,4
29,Louisville,Kentucky,38.2526647,-85.7584557,Louisville International Airport,"600 Terminal Dr, Louisville",4
30,Milwaukee,Wisconsin,43.0389025,-87.9064736,General Mitchell International Airport,"5300 S Howell Ave, Milwaukee",4.2
31,Albuquerque,New Mexico,35.0853336,-106.6055534,Albuquerque International Sunport,"2200 Sunport Blvd, Albuquerque",4.1
32,Tucson,Arizona,32.2217429,-110.926479,Tucson International Airport,"7250 S Tucson Blvd, Tucson",4.1
33,Fresno,California,36.7468422,-119.7725868,Fresno Yosemite International Airport,"5175 E Clinton Way, Fresno",3.9
34,Sacramento,California,38.5815719,-121.4943996,Sacramento International Airport,"6900 Airport Blvd, Sacramento",4.1
35,Kansas City,Missouri,39.0997265,-94.5785667,,,
36,Long Beach,California,33.7700504,-118.1937395,Compton/Woodley Airport,"901 W Alondra Blvd, Compton",4.2
37,Mesa,Arizona,33.4151843,-111.8314724,,,
38,Atlanta,Georgia,33.7489954,-84.3879824,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Pkwy, Atlanta",3.9
39,Colorado Springs,Colorado,38.8338816,-104.8213634,Colorado Springs Airport,"7770 Milton E Proby Pkwy, Colorado Springs",4.3
40,Virginia Beach,Virginia,36.8529263,-75.97798499999999,,,
41,Raleigh,North Carolina,35.7795897,-78.6381787,Raleigh-Durham International Airport,"2400 John Brantley Blvd, Morrisville",4.2
42,Omaha,Nebraska,41.2523634,-95.99798829999999,Eppley Airfield,"4501 Abbott Dr, Omaha",3.9
43,Miami,Florida,25.7616798,-80.1917902,Miami International Airport,"2100 NW 42nd Ave, Miami",3.6
44,Oakland,California,37.8043637,-122.2711137,Oakland International Airport,"1 Airport Dr, Oakland",3.9
45,Minneapolis,Minnesota,44.977753,-93.2650108,Minneapolis−Saint Paul International Airport,"Minnesota, USA",4.1
46,Tulsa,Oklahoma,36.1539816,-95.99277500000001,Double W Airport,Sand Springs,
47,Wichita,Kansas,37.68717609999999,-97.33005299999999,Wichita Dwight D. Eisenhower National Airport,"2277 Eisenhower Airport Pkwy, Wichita",4.1
48,New Orleans,Louisiana,29.95106579999999,-90.0715323,New Orleans Lakefront Airport,"6001 Stars and Stripes Blvd #219, New Orleans",4.5
49,Arlington,Texas,32.735687,-97.10806559999999,Grand Prairie Municipal Airport,"3116 S Great SW Pkwy, Grand Prairie",4.7
50,Cleveland,Ohio,41.49932,-81.6943605,Cleveland Hopkins International Airport,"5300 Riverside Dr, Cleveland",3.6
51,Bakersfield,California,35.3732921,-119.0187125,Meadows Field Airport,"3701 Wings Way, Bakersfield",4.1
52,Tampa,Florida,27.950575,-82.4571776,Tampa International Airport,"4100 George J Bean Pkwy, Tampa",4.4
53,Aurora,Colorado,39.7294319,-104.8319195,Buckley AFB Airport-BKF,"S Silver Creek St, Aurora",
54,Honolulu,Hawai'i,21.3069444,-157.8583333,Honolulu International Airport,"300 Rodgers Blvd, Honolulu",3.5
55,Anaheim,California,33.8365932,-117.9143012,Fullerton Municipal Airport,"4011 W Commonwealth Ave, Fullerton",4.3
56,Santa Ana,California,33.7454725,-117.867653,John Wayne Airport,"18601 Airport Way, Santa Ana",4.3
57,Corpus Christi,Texas,27.8005828,-97.39638099999999,Corpus Christi International Airport,"1000 International Dr, Corpus Christi",4.2
58,Riverside,California,33.9533487,-117.3961564,Riverside Municipal Airport,"6951 Flight Rd, Riverside",4
59,St. Louis,Missouri,38.6270025,-90.19940419999999,Aero Estates Airport,Belleville,
60,Lexington,Kentucky,38.0405837,-84.5037164,Blue Grass Airport,"4000 Terminal Dr, Lexington",4.3
61,Stockton,California,37.9577016,-121.2907796,Stockton Metropolitan Airport,"5000 S Airport Way, Stockton",4.2
62,Pittsburgh,Pennsylvania,40.44062479999999,-79.9958864,,,
63,Saint Paul,Minnesota,44.9537029,-93.0899578,Minneapolis−Saint Paul International Airport,"Minnesota, USA",4.1
64,Anchorage,Alaska,61.2180556,-149.9002778,Ted Stevens Anchorage International Airport,"5000 W International Airport Rd, Anchorage",4.2
65,Cincinnati,Ohio,39.1031182,-84.5120196,Cincinnati/Northern Kentucky International Airport,"3087 Terminal Dr, Hebron",3.8
66,Henderson,Nevada,36.0395247,-114.9817213,Henderson Executive Airport,"3500 Executive Terminal Dr, Henderson",4.4
67,Greensboro,North Carolina,36.0726354,-79.7919754,Piedmont Triad International Airport,"1000 Ted Johnson Pkwy, Greensboro",4.3
68,Plano,Texas,33.0198431,-96.6988856,Air Park-Dallas Airport,"1912 Airpark Ln, Plano",4.5
69,Newark,New Jersey,40.735657,-74.1723667,Newark Liberty International Airport,"3 Brewster Rd, Newark",3.2
70,Toledo,Ohio,41.6639383,-83.55521200000001,Erie Aerodrome,Temperance,
71,Lincoln,Nebraska,40.8257625,-96.6851982,Lincoln Airport,"2400 W Adams St, Lincoln",3.5
72,Orlando,Florida,28.5383355,-81.3792365,Orlando International Airport,"1 Jeff Fuqua Blvd, Orlando",3.8
73,Chula Vista,California,32.6400541,-117.0841955,San Diego International Airport,"3225 N Harbor Dr, San Diego",3.9
74,Jersey City,New Jersey,40.72815749999999,-74.0776417,Newark Liberty International Airport,"3 Brewster Rd, Newark",3.2
75,Chandler,Arizona,33.3061605,-111.8412502,,,
76,Fort Wayne,Indiana,41.079273,-85.1393513,Reichhart Airport-05II,"Minnich Rd, New Haven",
77,Buffalo,New York,42.88644679999999,-78.8783689,Buffalo Niagara International Airport,"4200 Genesee St, Buffalo",
78,Durham,North Carolina,35.9940329,-78.898619,Raleigh-Durham International Airport,"2400 John Brantley Blvd, Morrisville",4.2
79,St. Petersburg,Florida,27.7676008,-82.64029149999999,Albert Whitted Airport,"107 8th Ave SE, St. Petersburg",4.8
80,Irvine,California,33.6845673,-117.8265049,John Wayne Airport,"18601 Airport Way, Santa Ana",4.3
81,Laredo,Texas,27.5305671,-99.48032409999999,Landgren Ranch Airport-40NE,"83893 Stone House Ave, Bartlett",
82,Lubbock,Texas,33.5778631,-101.8551665,Lubbock Preston Smith International Airport,"5401 N Martin L King Blvd, Lubbock",3.7
83,Madison,Wisconsin,43.0730517,-89.4012302,Middleton Municipal Airport,"8300 Airport Rd, Middleton",5
84,Gilbert,Arizona,33.3528264,-111.789027,Phoenix Mesa Gateway Airport,"5835 S Sossaman Rd, Mesa",3.7
85,Norfolk,Virginia,36.8507689,-76.28587259999999,Norfolk International Airport,"2200 Norview Ave, Norfolk",3.7
86,Reno,Nevada,39.5296329,-119.8138027,Reno-Tahoe International Airport,"2001 E Plumb Ln, Reno",4.1
87,Winston-Salem,North Carolina,36.09985959999999,-80.244216,Smith-Reynolds Airport,"3801 N Liberty St # 204, Winston-Salem",4.9
88,Glendale,Arizona,33.5386523,-112.1859866,Glendale Municipal Airport (GEU),"6801 N Glen Harbor Blvd, Glendale",4
89,Hialeah,Florida,25.8575963,-80.2781057,Miami International Airport,"2100 NW 42nd Ave, Miami",3.6
90,Garland,Texas,32.912624,-96.63888329999999,,,
91,Scottsdale,Arizona,33.4941704,-111.9260519,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9
92,Irving,Texas,32.8140177,-96.9488945,Dallas/Fort Worth International Airport,"2400 Aviation Dr, DFW Airport",3.8
93,Chesapeake,Virginia,36.7682088,-76.2874927,Norfolk International Airport,"2200 Norview Ave, Norfolk",3.7
94,North Las Vegas,Nevada,36.1988592,-115.1175013,McCarran International Airport,"5757 Wayne Newton Blvd, Las Vegas",3.9
95,Fremont,California,37.5482697,-121.9885719,Palo Alto Airport,"1925 Embarcadero Rd, Palo Alto",4.2
96,Baton Rouge,Louisiana,30.4582829,-91.1403196,Airport Information & Paging,"9430 Jackie Cochran Dr # 112, Baton Rouge",
97,Richmond,Virginia,37.5407246,-77.4360481,Richmond International Airport,"1 Richard E Byrd Terminal Dr, Richmond",4.1
98,Boise,Idaho,43.6187102,-116.2146068,Boise Airport,"3201 W Airport Way #1000, Boise",4.3
99,San Bernardino,California,34.1083449,-117.2897652,,,
